played_at,track_name,duration_ms,track_id,artist_name,artist_id,artist_genres,artist_img,album_name,album_id,album_release_year,album_label,album_img
2025-12-15T12:38:08.073Z,Ni príncipes ni princesas,261266,6Akcoj69QxDwMp16Y8SSw9,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Somos Unos Animales,7cMPHSCmlJVpO9EH0a6bSp,1991,WM Spain,https://i.scdn.co/image/ab67616d00001e02a7f10e2723b166e38f98eeaa
2025-12-15T12:41:07.416Z,Perro callejero,179219,6Hv6wCRWToiYmeCUi87gWs,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Somos Unos Animales,7cMPHSCmlJVpO9EH0a6bSp,1991,WM Spain,https://i.scdn.co/image/ab67616d00001e02a7f10e2723b166e38f98eeaa
2025-12-15T13:02:46.287Z,Resolución,233023,4oUYBQ1ZUk2wfVxCImKyOo,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Somos Unos Animales,7cMPHSCmlJVpO9EH0a6bSp,1991,WM Spain,https://i.scdn.co/image/ab67616d00001e02a7f10e2723b166e38f98eeaa
2025-12-15T13:05:46.104Z,Perro callejero,179219,6Hv6wCRWToiYmeCUi87gWs,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Somos Unos Animales,7cMPHSCmlJVpO9EH0a6bSp,1991,WM Spain,https://i.scdn.co/image/ab67616d00001e02a7f10e2723b166e38f98eeaa
2025-12-15T13:08:47.887Z,Destrozares,195000,4FHOqpXOFYSysq7KKMnTJa,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,"Destrozares, Canciones para el Final de los Tiempos",7a6ORY3ZEzWgFJcUtPolYA,2016,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e02fe990eee73f2c755898767b9
2025-12-15T13:16:01.781Z,Del Tiempo Perdido,430671,204uPJNzsXUU3kojeYdnp7,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Del Tiempo Perdido,3P9F55RGmym937TTqwA5QU,2016,El Dromedario Records distributed by Altafonte,https://i.scdn.co/image/ab6742d3000053b7d35334db0a495ac1aaf1e962
2025-12-15T13:22:15.673Z,Por Encima del Bien y del Mal,381805,51HGOQlOFVnK5swPEbMJN9,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Por Encima del Bien y del Mal,0jJhKRHE8SRvJtOv4sQ3fO,2016,El Dromedario Records distributed by Altafonte,https://i.scdn.co/image/ab6742d3000053b7c3a11fbcfe96c148199f6526
2025-12-15T19:01:35.681Z,La Canción Más Triste,402677,3yGwVOEfttlrsoFl0VyUH9,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,La Canción Más Triste,2rS55LDLhDEN5yuDv27RS9,2016,El Dromedario Records distributed by Altafonte,https://i.scdn.co/image/ab6742d3000053b73078ddc4cd811afa1f62bc1b
2025-12-15T19:18:53.945Z,A la sombra de mi sombra,250005,4dA49TwxP2fJ3TgNkBUqov,Extrechinato y Tu,5qi25oEuARj6wUbqiMSj0w,,https://i.scdn.co/image/ab67616d00001e0230d46cf7339a39d1432dc3d4,A La Sombra De Mi Sombra,4y4M0y7vM9htOPxoLhc1vx,2001,WM Spain,https://i.scdn.co/image/ab6742d3000053b730ce43ce72d3a54d78307a36
2025-12-15T20:04:57.868Z,Rojitas,232000,5Srks36XWpQoF47EYF7ExI,Extrechinato y Tu,5qi25oEuARj6wUbqiMSj0w,,https://i.scdn.co/image/ab67616d00001e0230d46cf7339a39d1432dc3d4,Poesía Básica,4xhZ3vSDxAYlXCuorMDAbV,2001,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e0230d46cf7339a39d1432dc3d4
